complex	eggNOG
60S ribosomal subunit, cytoplasmic	KOG1790@euNOG
60S ribosomal subunit, cytoplasmic	KOG3421@euNOG
60S ribosomal subunit, cytoplasmic	KOG3401@euNOG
60S ribosomal subunit, cytoplasmic	KOG1678@euNOG
60S ribosomal subunit, cytoplasmic	KOG3418@euNOG
60S ribosomal subunit, cytoplasmic	KOG0402@euNOG
60S ribosomal subunit, cytoplasmic	KOG3475@euNOG
60S ribosomal subunit, cytoplasmic	KOG3166@euNOG
60S ribosomal subunit, cytoplasmic	KOG1751@euNOG
60S ribosomal subunit, cytoplasmic	KOG0901@euNOG
60S ribosomal subunit, cytoplasmic	KOG2988@euNOG
60S ribosomal subunit, cytoplasmic	KOG0002@euNOG
60S ribosomal subunit, cytoplasmic	KOG0893@euNOG
60S ribosomal subunit, cytoplasmic	KOG1570@euNOG
60S ribosomal subunit, cytoplasmic	KOG0878@euNOG
60S ribosomal subunit, cytoplasmic	KOG0397@euNOG
60S ribosomal subunit, cytoplasmic	KOG2309@euNOG
60S ribosomal subunit, cytoplasmic	0IUNU@euNOG
60S ribosomal subunit, cytoplasmic	KOG3499@euNOG
60S ribosomal subunit, cytoplasmic	KOG1722@euNOG
60S ribosomal subunit, cytoplasmic	KOG3464@euNOG
60S ribosomal subunit, cytoplasmic	KOG1696@euNOG
60S ribosomal subunit, cytoplasmic	KOG0829@euNOG
60S ribosomal subunit, cytoplasmic	KOG1694@euNOG
60S ribosomal subunit, cytoplasmic	KOG1714@euNOG
60S ribosomal subunit, cytoplasmic	KOG3452@euNOG
RC complex	KOG2851@euNOG
RC complex	KOG0970@euNOG
RC complex	KOG2267@euNOG
RC complex	0KD0C@euNOG
RC complex	KOG0989@euNOG
RC complex	KOG0990@euNOG
RC complex	KOG0991@euNOG
Cell cycle kinase complex CDC2	KOG0653@euNOG
Cell cycle kinase complex CDC2	KOG0594@euNOG
Cell cycle kinase complex CDC2	KOG1636@euNOG
Cell cycle kinase complex CDC2	KOG0656@euNOG
Cell cycle kinase complex CDC2	KOG4743@euNOG
Cell cycle kinase complex CDK2	KOG1636@euNOG
Cell cycle kinase complex CDK2	KOG0656@euNOG
Cell cycle kinase complex CDK2	KOG0594@euNOG
Cell cycle kinase complex CDK2	KOG4743@euNOG
Cell cycle kinase complex CDK4	KOG0594@euNOG
Cell cycle kinase complex CDK4	KOG1636@euNOG
Cell cycle kinase complex CDK4	KOG0656@euNOG
Cell cycle kinase complex CDK4	KOG4743@euNOG
Cell cycle kinase complex CDK5	KOG1636@euNOG
Cell cycle kinase complex CDK5	KOG0656@euNOG
Cell cycle kinase complex CDK5	KOG4743@euNOG
Cell cycle kinase complex CDK5	KOG0594@euNOG
PCNA-p21 complex	KOG1636@euNOG
PCNA-p21 complex	KOG4743@euNOG
28S ribosomal subunit, mitochondrial	KOG1750@euNOG
28S ribosomal subunit, mitochondrial	KOG1741@euNOG
28S ribosomal subunit, mitochondrial	KOG3928@euNOG
28S ribosomal subunit, mitochondrial	KOG3890@euNOG
28S ribosomal subunit, mitochondrial	KOG4079@euNOG
28S ribosomal subunit, mitochondrial	KOG3321@euNOG
28S ribosomal subunit, mitochondrial	KOG3933@euNOG
28S ribosomal subunit, mitochondrial	KOG2646@euNOG
28S ribosomal subunit, mitochondrial	0IZ0U@euNOG
28S ribosomal subunit, mitochondrial	KOG0408@euNOG
28S ribosomal subunit, mitochondrial	KOG2815@euNOG
28S ribosomal subunit, mitochondrial	0J1MD@euNOG
28S ribosomal subunit, mitochondrial	0IGV1@euNOG
28S ribosomal subunit, mitochondrial	KOG4708@euNOG
28S ribosomal subunit, mitochondrial	KOG1697@euNOG
28S ribosomal subunit, mitochondrial	KOG4570@euNOG
28S ribosomal subunit, mitochondrial	0IHXJ@euNOG
28S ribosomal subunit, mitochondrial	0IY06@euNOG
28S ribosomal subunit, mitochondrial	KOG4691@euNOG
28S ribosomal subunit, mitochondrial	KOG4461@euNOG
28S ribosomal subunit, mitochondrial	KOG3162@euNOG
28S ribosomal subunit, mitochondrial	KOG4104@euNOG
28S ribosomal subunit, mitochondrial	KOG4078@euNOG
28S ribosomal subunit, mitochondrial	KOG3447@euNOG
28S ribosomal subunit, mitochondrial	KOG3291@euNOG
28S ribosomal subunit, mitochondrial	KOG0832@euNOG
28S ribosomal subunit, mitochondrial	KOG3419@euNOG
28S ribosomal subunit, mitochondrial	0J3Q4@euNOG
28S ribosomal subunit, mitochondrial	KOG4021@euNOG
Dystrophin associated complex DPC (Dmd, Dtnb), brain-derived	0IMEA@euNOG
Dystrophin associated complex DPC (Dmd, Dtnb), brain-derived	KOG4301@euNOG
Dystrobrevin-syntrophin complex, brain-derived	KOG4301@euNOG
Dystrobrevin-syntrophin complex, brain-derived	0IMEA@euNOG
Dystrobrevin-syntrophin complex, brain-derived	0IMRM@euNOG
55S ribosome, mitochondrial	KOG1750@euNOG
55S ribosome, mitochondrial	KOG1741@euNOG
55S ribosome, mitochondrial	KOG3505@euNOG
55S ribosome, mitochondrial	KOG3141@euNOG
55S ribosome, mitochondrial	KOG1698@euNOG
55S ribosome, mitochondrial	KOG3928@euNOG
55S ribosome, mitochondrial	KOG1715@euNOG
55S ribosome, mitochondrial	KOG3890@euNOG
55S ribosome, mitochondrial	KOG4079@euNOG
55S ribosome, mitochondrial	KOG3321@euNOG
55S ribosome, mitochondrial	KOG3933@euNOG
55S ribosome, mitochondrial	KOG2646@euNOG
55S ribosome, mitochondrial	0IZ0U@euNOG
55S ribosome, mitochondrial	KOG0408@euNOG
55S ribosome, mitochondrial	KOG2815@euNOG
55S ribosome, mitochondrial	0J1MD@euNOG
55S ribosome, mitochondrial	0IGV1@euNOG
55S ribosome, mitochondrial	KOG4708@euNOG
55S ribosome, mitochondrial	KOG1697@euNOG
55S ribosome, mitochondrial	0IHHD@euNOG
55S ribosome, mitochondrial	KOG3279@euNOG
55S ribosome, mitochondrial	KOG4034@euNOG
55S ribosome, mitochondrial	KOG4089@euNOG
55S ribosome, mitochondrial	KOG4045@euNOG
55S ribosome, mitochondrial	KOG0438@euNOG
55S ribosome, mitochondrial	KOG3435@euNOG
55S ribosome, mitochondrial	KOG3441@euNOG
55S ribosome, mitochondrial	KOG1686@euNOG
55S ribosome, mitochondrial	KOG4616@euNOG
55S ribosome, mitochondrial	KOG4241@euNOG
55S ribosome, mitochondrial	0J2WG@euNOG
55S ribosome, mitochondrial	KOG4756@euNOG
55S ribosome, mitochondrial	0J127@euNOG
55S ribosome, mitochondrial	KOG3445@euNOG
55S ribosome, mitochondrial	KOG4799@euNOG
55S ribosome, mitochondrial	KOG4570@euNOG
55S ribosome, mitochondrial	0IHXJ@euNOG
55S ribosome, mitochondrial	KOG1708@euNOG
55S ribosome, mitochondrial	KOG3346@euNOG
55S ribosome, mitochondrial	0IY06@euNOG
55S ribosome, mitochondrial	0J0VJ@euNOG
55S ribosome, mitochondrial	KOG4060@euNOG
55S ribosome, mitochondrial	KOG4612@euNOG
55S ribosome, mitochondrial	KOG4599@euNOG
55S ribosome, mitochondrial	0IR08@euNOG
55S ribosome, mitochondrial	KOG4707@euNOG
55S ribosome, mitochondrial	KOG3203@euNOG
55S ribosome, mitochondrial	KOG4607@euNOG
55S ribosome, mitochondrial	KOG1624@euNOG
55S ribosome, mitochondrial	KOG1569@euNOG
55S ribosome, mitochondrial	KOG4691@euNOG
55S ribosome, mitochondrial	0IKEJ@euNOG
55S ribosome, mitochondrial	KOG3333@euNOG
55S ribosome, mitochondrial	KOG4548@euNOG
55S ribosome, mitochondrial	0IUHB@euNOG
55S ribosome, mitochondrial	KOG3331@euNOG
55S ribosome, mitochondrial	KOG4461@euNOG
55S ribosome, mitochondrial	KOG4778@euNOG
55S ribosome, mitochondrial	KOG3280@euNOG
55S ribosome, mitochondrial	KOG3162@euNOG
55S ribosome, mitochondrial	KOG1711@euNOG
55S ribosome, mitochondrial	KOG3422@euNOG
55S ribosome, mitochondrial	0KDWS@euNOG
55S ribosome, mitochondrial	KOG4316@euNOG
55S ribosome, mitochondrial	KOG0846@euNOG
55S ribosome, mitochondrial	KOG4122@euNOG
55S ribosome, mitochondrial	KOG4600@euNOG
55S ribosome, mitochondrial	KOG4104@euNOG
55S ribosome, mitochondrial	KOG4078@euNOG
55S ribosome, mitochondrial	KOG3447@euNOG
55S ribosome, mitochondrial	KOG3291@euNOG
55S ribosome, mitochondrial	KOG0832@euNOG
55S ribosome, mitochondrial	KOG3257@euNOG
55S ribosome, mitochondrial	KOG3419@euNOG
55S ribosome, mitochondrial	0J3Q4@euNOG
55S ribosome, mitochondrial	KOG4021@euNOG
55S ribosome, mitochondrial	KOG4106@euNOG
DNA-PK-Ku complex	KOG2327@euNOG
DNA-PK-Ku complex	KOG2326@euNOG
DNA-PK-Ku complex	KOG0891@euNOG
39S ribosomal subunit, mitochondrial	KOG3505@euNOG
39S ribosomal subunit, mitochondrial	KOG3141@euNOG
39S ribosomal subunit, mitochondrial	KOG1698@euNOG
39S ribosomal subunit, mitochondrial	KOG1715@euNOG
39S ribosomal subunit, mitochondrial	0IHHD@euNOG
39S ribosomal subunit, mitochondrial	KOG3279@euNOG
39S ribosomal subunit, mitochondrial	KOG4034@euNOG
39S ribosomal subunit, mitochondrial	KOG4089@euNOG
39S ribosomal subunit, mitochondrial	KOG4045@euNOG
39S ribosomal subunit, mitochondrial	KOG0438@euNOG
39S ribosomal subunit, mitochondrial	KOG3435@euNOG
39S ribosomal subunit, mitochondrial	KOG3441@euNOG
39S ribosomal subunit, mitochondrial	KOG1686@euNOG
39S ribosomal subunit, mitochondrial	KOG4616@euNOG
39S ribosomal subunit, mitochondrial	KOG4241@euNOG
39S ribosomal subunit, mitochondrial	0J2WG@euNOG
39S ribosomal subunit, mitochondrial	KOG4756@euNOG
39S ribosomal subunit, mitochondrial	0J127@euNOG
39S ribosomal subunit, mitochondrial	KOG3445@euNOG
39S ribosomal subunit, mitochondrial	KOG4799@euNOG
39S ribosomal subunit, mitochondrial	KOG1708@euNOG
39S ribosomal subunit, mitochondrial	KOG3346@euNOG
39S ribosomal subunit, mitochondrial	0J0VJ@euNOG
39S ribosomal subunit, mitochondrial	KOG4060@euNOG
39S ribosomal subunit, mitochondrial	KOG4612@euNOG
39S ribosomal subunit, mitochondrial	KOG4599@euNOG
39S ribosomal subunit, mitochondrial	0IR08@euNOG
39S ribosomal subunit, mitochondrial	KOG4707@euNOG
39S ribosomal subunit, mitochondrial	KOG3203@euNOG
39S ribosomal subunit, mitochondrial	KOG4607@euNOG
39S ribosomal subunit, mitochondrial	KOG1624@euNOG
39S ribosomal subunit, mitochondrial	KOG1569@euNOG
39S ribosomal subunit, mitochondrial	0IKEJ@euNOG
39S ribosomal subunit, mitochondrial	KOG3333@euNOG
39S ribosomal subunit, mitochondrial	KOG4548@euNOG
39S ribosomal subunit, mitochondrial	0IUHB@euNOG
39S ribosomal subunit, mitochondrial	KOG3331@euNOG
39S ribosomal subunit, mitochondrial	KOG4778@euNOG
39S ribosomal subunit, mitochondrial	KOG3280@euNOG
39S ribosomal subunit, mitochondrial	KOG1711@euNOG
39S ribosomal subunit, mitochondrial	KOG3422@euNOG
39S ribosomal subunit, mitochondrial	0KDWS@euNOG
39S ribosomal subunit, mitochondrial	KOG4316@euNOG
39S ribosomal subunit, mitochondrial	KOG0846@euNOG
39S ribosomal subunit, mitochondrial	KOG4122@euNOG
39S ribosomal subunit, mitochondrial	KOG4600@euNOG
39S ribosomal subunit, mitochondrial	KOG3257@euNOG
39S ribosomal subunit, mitochondrial	KOG4106@euNOG
Skeletal muscle sarcoglycan complex SGC, beta-gamma-delta-zeta	KOG3950@euNOG
Skeletal muscle sarcoglycan complex SGC, beta-gamma-delta-zeta	0IEAC@euNOG
Smooth muscle sarcoglycan complex SGC, beta-delta-zeta	KOG3950@euNOG
Smooth muscle sarcoglycan complex SGC, beta-delta-zeta	0IEAC@euNOG
Ku antigen complex	KOG2327@euNOG
Ku antigen complex	KOG2326@euNOG
Skeletal muscle sarcoglycan complex SGC, alpha-beta-epsilon-gamma	KOG4482@euNOG
Skeletal muscle sarcoglycan complex SGC, alpha-beta-epsilon-gamma	KOG3950@euNOG
Skeletal muscle sarcoglycan complex SGC, alpha-beta-epsilon-gamma	0IEAC@euNOG
Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta	KOG3950@euNOG
Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta	0IEAC@euNOG
Skeletal muscle sarcoglycan complex SGC, alpha-beta-gamma-delta	KOG4482@euNOG
Skeletal muscle sarcoglycan complex SGC, epsilon-beta-gamma-delta	KOG4482@euNOG
Skeletal muscle sarcoglycan complex SGC, epsilon-beta-gamma-delta	KOG3950@euNOG
Skeletal muscle sarcoglycan complex SGC, epsilon-beta-gamma-delta	0IEAC@euNOG
p54(nrb)-PSF-matrin3 complex	KOG0115@euNOG
p54(nrb)-PSF-matrin3 complex	0IGPC@euNOG
DNA ligase IV-XRCC4-AHNK complex	KOG0966@euNOG
DNA ligase IV-XRCC4-AHNK complex	0IJSN@euNOG
Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle	0IMEA@euNOG
Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle	KOG3950@euNOG
Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle	0IEAC@euNOG
Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle	KOG4482@euNOG
Dystrophin-sarcoglycan-syntrophin complex, skeletal muscle	0IMRM@euNOG
40S ribosomal subunit, cytoplasmic	KOG0187@euNOG
40S ribosomal subunit, cytoplasmic	KOG0830@euNOG
40S ribosomal subunit, cytoplasmic	KOG0877@euNOG
40S ribosomal subunit, cytoplasmic	KOG3181@euNOG
40S ribosomal subunit, cytoplasmic	KOG3406@euNOG
40S ribosomal subunit, cytoplasmic	KOG3411@euNOG
40S ribosomal subunit, cytoplasmic	KOG3301@euNOG
40S ribosomal subunit, cytoplasmic	KOG3291@euNOG
40S ribosomal subunit, cytoplasmic	KOG3344@euNOG
40S ribosomal subunit, cytoplasmic	KOG0900@euNOG
40S ribosomal subunit, cytoplasmic	KOG1628@euNOG
40S ribosomal subunit, cytoplasmic	KOG3320@euNOG
40S ribosomal subunit, cytoplasmic	KOG3283@euNOG
40S ribosomal subunit, cytoplasmic	KOG1754@euNOG
40S ribosomal subunit, cytoplasmic	KOG1753@euNOG
40S ribosomal subunit, cytoplasmic	KOG0407@euNOG
40S ribosomal subunit, cytoplasmic	KOG1749@euNOG
40S ribosomal subunit, cytoplasmic	KOG3311@euNOG
40S ribosomal subunit, cytoplasmic	KOG3506@euNOG
40S ribosomal subunit, cytoplasmic	KOG0400@euNOG
40S ribosomal subunit, cytoplasmic	KOG1728@euNOG
40S ribosomal subunit, cytoplasmic	KOG0378@euNOG
40S ribosomal subunit, cytoplasmic	KOG1646@euNOG
40S ribosomal subunit, cytoplasmic	KOG0898@euNOG
40S ribosomal subunit, cytoplasmic	KOG3424@euNOG
40S ribosomal subunit, cytoplasmic	KOG1767@euNOG
40S ribosomal subunit, cytoplasmic	KOG1768@euNOG
40S ribosomal subunit, cytoplasmic	KOG3502@euNOG
40S ribosomal subunit, cytoplasmic	KOG0009@euNOG
40S ribosomal subunit, cytoplasmic	KOG0004@euNOG
40S ribosomal subunit, cytoplasmic	KOG3486@euNOG
DNA ligase IV-XRCC4 complex	KOG0966@euNOG
DNA ligase IV-XRCC4 complex	0IJSN@euNOG
Sarcoglycan-sarcospan-dystroglycan complex	KOG3950@euNOG
Sarcoglycan-sarcospan-dystroglycan complex	0IEAC@euNOG
Sarcoglycan-sarcospan-dystroglycan complex	KOG4482@euNOG
Sarcoglycan-sarcospan-dystroglycan complex	0IK33@euNOG
Sarcoglycan-sarcospan-dystroglycan complex	KOG3781@euNOG
Sarcoglycan-sarcospan-complex SG-SPN	KOG3950@euNOG
Sarcoglycan-sarcospan-complex SG-SPN	0IEAC@euNOG
Sarcoglycan-sarcospan-complex SG-SPN	KOG4482@euNOG
Sarcoglycan-sarcospan-complex SG-SPN	0IK33@euNOG
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex	KOG3950@euNOG
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex	0IEAC@euNOG
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex	KOG4482@euNOG
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex	0IMRM@euNOG
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex	0IK33@euNOG
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex	KOG3551@euNOG
Sarcoglycan-sarcospan-syntrophin-dystrobrevin complex	KOG4301@euNOG
DNA ligase IV-XRCC4-PNK complex	KOG0966@euNOG
DNA ligase IV-XRCC4-PNK complex	0IJSN@euNOG
DNA ligase IV-XRCC4-PNK complex	KOG2134@euNOG
Spliceosome	KOG2193@euNOG
Spliceosome	KOG0335@euNOG
Spliceosome	KOG0155@euNOG
Spliceosome	KOG0151@euNOG
Spliceosome	KOG0699@euNOG
Spliceosome	KOG0925@euNOG
Spliceosome	KOG0266@euNOG
Spliceosome	KOG2217@euNOG
Spliceosome	KOG2769@euNOG
Spliceosome	KOG0879@euNOG
Spliceosome	KOG0285@euNOG
Spliceosome	KOG2893@euNOG
Spliceosome	KOG1548@euNOG
Spliceosome	KOG1689@euNOG
Spliceosome	KOG1806@euNOG
Spliceosome	KOG0282@euNOG
Spliceosome	0KDH1@euNOG
Spliceosome	KOG0213@euNOG
Spliceosome	KOG0952@euNOG
Spliceosome	KOG3096@euNOG
Spliceosome	KOG1150@euNOG
Spliceosome	KOG3026@euNOG
Spliceosome	KOG0495@euNOG
Spliceosome	KOG0796@euNOG
Spliceosome	KOG2560@euNOG
Spliceosome	KOG2950@euNOG
Spliceosome	KOG2609@euNOG
Spliceosome	KOG4206@euNOG
Spliceosome	KOG0113@euNOG
Spliceosome	KOG3454@euNOG
Spliceosome	KOG1644@euNOG
Spliceosome	KOG0123@euNOG
Spliceosome	KOG3168@euNOG
Spliceosome	KOG0331@euNOG
Spliceosome	KOG0120@euNOG
Spliceosome	KOG3404@euNOG
Spliceosome	KOG0948@euNOG
Spliceosome	KOG2253@euNOG
Spliceosome	KOG0121@euNOG
Spliceosome	KOG1425@euNOG
Spliceosome	KOG3387@euNOG
Spliceosome	KOG3392@euNOG
Spliceosome	KOG1774@euNOG
Spliceosome	KOG3482@euNOG
Spliceosome	KOG1780@euNOG
Spliceosome	KOG3460@euNOG
Spliceosome	KOG1783@euNOG
Spliceosome	KOG3428@euNOG
Spliceosome	KOG3459@euNOG
Spliceosome	KOG3172@euNOG
Spliceosome	KOG0118@euNOG
Spliceosome	KOG3414@euNOG
Spliceosome	KOG0107@euNOG
Spliceosome	KOG2202@euNOG
Spliceosome	KOG4207@euNOG
Spliceosome	0ISHD@euNOG
Spliceosome	KOG0105@euNOG
Spliceosome	KOG0106@euNOG
Spliceosome	KOG0921@euNOG
Spliceosome	KOG1104@euNOG
Spliceosome	KOG2636@euNOG
Spliceosome	KOG2498@euNOG
Spliceosome	KOG0883@euNOG
Spliceosome	KOG2330@euNOG
Spliceosome	KOG0670@euNOG
Spliceosome	KOG2441@euNOG
Spliceosome	KOG2216@euNOG
Spliceosome	KOG0329@euNOG
Spliceosome	KOG0147@euNOG
Spliceosome	KOG0922@euNOG
Spliceosome	KOG2991@euNOG
Spliceosome	KOG0469@euNOG
Spliceosome	KOG4209@euNOG
Spliceosome	KOG1898@euNOG
Spliceosome	KOG0131@euNOG
Spliceosome	KOG0227@euNOG
Spliceosome	KOG0007@euNOG
Spliceosome	KOG0119@euNOG
Spliceosome	KOG4849@euNOG
Spliceosome	KOG0275@euNOG
Spliceosome	KOG2026@euNOG
Spliceosome	KOG4822@euNOG
Spliceosome	KOG3215@euNOG
Spliceosome	KOG1795@euNOG
Spliceosome	KOG0334@euNOG
Spliceosome	KOG0533@euNOG
Spliceosome	KOG0649@euNOG
Spliceosome	KOG2146@euNOG
Spliceosome	KOG1874@euNOG
Spliceosome	KOG2370@euNOG
Spliceosome	KOG3263@euNOG
Spliceosome	KOG2574@euNOG
Spliceosome	KOG2734@euNOG
Spliceosome	KOG0882@euNOG
Spliceosome	KOG2627@euNOG
Spliceosome	KOG0265@euNOG
Spliceosome	KOG2491@euNOG
Spliceosome	KOG1996@euNOG
Spliceosome	KOG1407@euNOG
Spliceosome	KOG0112@euNOG
Spliceosome	0IUN7@euNOG
Spliceosome	KOG0050@euNOG
Spliceosome	KOG2808@euNOG
Spliceosome	0J165@euNOG
Spliceosome	KOG2654@euNOG
Spliceosome	KOG0333@euNOG
Spliceosome	KOG2295@euNOG
Spliceosome	KOG1915@euNOG
Spliceosome	KOG0884@euNOG
Spliceosome	KOG1804@euNOG
Spliceosome	KOG2140@euNOG
Spliceosome	KOG2047@euNOG
Spliceosome	KOG0153@euNOG
Spliceosome	KOG0600@euNOG
Spliceosome	KOG3228@euNOG
Spliceosome	KOG2184@euNOG
Spliceosome	KOG0124@euNOG
Spliceosome	KOG0341@euNOG
Spliceosome	KOG1781@euNOG
Spliceosome	KOG2416@euNOG
Spliceosome	KOG3068@euNOG
Spliceosome	KOG0289@euNOG
Spliceosome	KOG0111@euNOG
Spliceosome	KOG1869@euNOG
Spliceosome	KOG4672@euNOG
Spliceosome	KOG3448@euNOG
Spliceosome	KOG0114@euNOG
Spliceosome	KOG0881@euNOG
Spliceosome	KOG3293@euNOG
Spliceosome	KOG2136@euNOG
Spliceosome	KOG0130@euNOG
Spliceosome	KOG3213@euNOG
DNA ligase IV-condensin complex	KOG0933@euNOG
DNA ligase IV-condensin complex	KOG0966@euNOG
DNA ligase IV-condensin complex	KOG0996@euNOG
DNA ligase IV-Xrcc4-DNA-protein kinase complex	KOG0891@euNOG
DNA ligase IV-Xrcc4-DNA-protein kinase complex	KOG0966@euNOG
DNA ligase IV-Xrcc4-DNA-protein kinase complex	0IJSN@euNOG
DNA ligase IV-XRCC4-XLF complex	KOG0966@euNOG
DNA ligase IV-XRCC4-XLF complex	0IJSN@euNOG
DNA ligase IV-XRCC4-XLF complex	0IT7Y@euNOG
Artemis-DNA-PK complex	KOG0891@euNOG
Artemis-DNA-PK complex	KOG1361@euNOG
DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	KOG2534@euNOG
DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	KOG3226@euNOG
DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	KOG4437@euNOG
DNA ligase III-XRCC1-PNK-DNA-pol III multiprotein complex	KOG2134@euNOG
DNA ligase III-XRCC1 complex	KOG3226@euNOG
DNA ligase III-XRCC1 complex	KOG4437@euNOG
RC-1 complex (recombination complex 1)	KOG3818@euNOG
RC-1 complex (recombination complex 1)	KOG4437@euNOG
RC-1 complex (recombination complex 1)	KOG0933@euNOG
RC-1 complex (recombination complex 1)	KOG1798@euNOG
Rag1-Rag2 protein-DNA complex	0IKNG@euNOG
Rag1-Rag2 protein-DNA complex	0IJ5S@euNOG
Rag1-Rag2-Ku70-Ku80 protein-DNA complex	0IKNG@euNOG
Rag1-Rag2-Ku70-Ku80 protein-DNA complex	0IJ5S@euNOG
Rag1-Rag2-Ku70-Ku80 protein-DNA complex	KOG2327@euNOG
Rag1-Rag2-Ku70-Ku80 protein-DNA complex	KOG2326@euNOG
Rag1-Rag2-Ku70-Ku80 protein-DNA complex	KOG0381@euNOG
ERCC1-ERCC4-MSH2 complex	KOG2841@euNOG
ERCC1-ERCC4-MSH2 complex	KOG0219@euNOG
ERCC1-ERCC4-MSH2 complex	KOG0442@euNOG
MSH2-MSH6-PMS2-MLH1 complex	KOG1979@euNOG
MSH2-MSH6-PMS2-MLH1 complex	KOG0219@euNOG
MSH2-MSH6-PMS2-MLH1 complex	KOG0217@euNOG
MSH2-MSH6-PMS2-MLH1 complex	KOG1978@euNOG
MSH2-MSH6-PMS1-MLH1 complex	KOG1979@euNOG
MSH2-MSH6-PMS1-MLH1 complex	KOG0219@euNOG
MSH2-MSH6-PMS1-MLH1 complex	KOG0217@euNOG
MSH2-MSH6-PMS1-MLH1 complex	KOG1978@euNOG
F0F1 ATP synthase, mitochondrial	KOG4092@euNOG
F0F1 ATP synthase, mitochondrial	KOG4665@euNOG
F0F1 ATP synthase, mitochondrial	KOG1350@euNOG
F0F1 ATP synthase, mitochondrial	0J587@euNOG
F0F1 ATP synthase, mitochondrial	KOG1353@euNOG
F0F1 ATP synthase, mitochondrial	0INNH@euNOG
F0F1 ATP synthase, mitochondrial	KOG4634@euNOG
F0F1 ATP synthase, mitochondrial	KOG3495@euNOG
F0F1 ATP synthase, mitochondrial	KOG4326@euNOG
F0F1 ATP synthase, mitochondrial	KOG3366@euNOG
F0F1 ATP synthase, mitochondrial	KOG1758@euNOG
F0F1 ATP synthase, mitochondrial	0J2TJ@euNOG
F0F1 ATP synthase, mitochondrial	KOG3025@euNOG
F0F1 ATP synthase, mitochondrial	KOG4103@euNOG
MSH2-MSH6 complex	KOG0219@euNOG
MSH2-MSH6 complex	KOG0217@euNOG
MSH2-MSH3 complex	KOG0217@euNOG
MSH2-MSH3 complex	KOG0219@euNOG
PCNA-MutS-alpha-MutL-alpha-DNA complex	KOG1636@euNOG
PCNA-MutS-alpha-MutL-alpha-DNA complex	KOG1979@euNOG
PCNA-MutS-alpha-MutL-alpha-DNA complex	KOG0219@euNOG
PCNA-MutS-alpha-MutL-alpha-DNA complex	KOG0217@euNOG
PCNA-MutS-alpha-MutL-alpha-DNA complex	KOG1978@euNOG
MutL-alpha complex	KOG1979@euNOG
MutL-alpha complex	KOG1978@euNOG
MutL-beta complex	KOG1979@euNOG
MutL-beta complex	KOG1978@euNOG
Respiratory chain complex I, mitochondrial	KOG4808@euNOG
Respiratory chain complex I, mitochondrial	KOG4770@euNOG
Respiratory chain complex I, mitochondrial	KOG4845@euNOG
Respiratory chain complex I, mitochondrial	KOG3456@euNOG
Respiratory chain complex I, mitochondrial	KOG4633@euNOG
Respiratory chain complex I, mitochondrial	0J463@euNOG
Respiratory chain complex I, mitochondrial	KOG3382@euNOG
Respiratory chain complex I, mitochondrial	KOG3256@euNOG
Respiratory chain complex I, mitochondrial	KOG2282@euNOG
Respiratory chain complex I, mitochondrial	KOG2870@euNOG
Respiratory chain complex I, mitochondrial	KOG2658@euNOG
Respiratory chain complex I, mitochondrial	KOG3877@euNOG
Respiratory chain complex I, mitochondrial	KOG4110@euNOG
Respiratory chain complex I, mitochondrial	KOG3365@euNOG
Respiratory chain complex I, mitochondrial	KOG4516@euNOG
Respiratory chain complex I, mitochondrial	KOG3446@euNOG
Respiratory chain complex I, mitochondrial	0J189@euNOG
Respiratory chain complex I, mitochondrial	0IZUV@euNOG
Respiratory chain complex I, mitochondrial	KOG4632@euNOG
Respiratory chain complex I, mitochondrial	KOG3466@euNOG
Respiratory chain complex I, mitochondrial	KOG3426@euNOG
Respiratory chain complex I, mitochondrial	KOG4631@euNOG
Respiratory chain complex I, mitochondrial	KOG1748@euNOG
Respiratory chain complex I, mitochondrial	KOG3468@euNOG
Respiratory chain complex I, mitochondrial	KOG3389@euNOG
Respiratory chain complex I, mitochondrial	KOG4040@euNOG
Respiratory chain complex I, mitochondrial	KOG3196@euNOG
Respiratory chain complex I, mitochondrial	KOG2865@euNOG
Respiratory chain complex I, mitochondrial	KOG1687@euNOG
Respiratory chain complex I, mitochondrial	KOG3458@euNOG
Respiratory chain complex I, mitochondrial	KOG4009@euNOG
Respiratory chain complex I, mitochondrial	KOG1713@euNOG
Respiratory chain complex I, mitochondrial	KOG3300@euNOG
Respiratory chain complex I, mitochondrial	KOG4630@euNOG
Respiratory chain complex I, mitochondrial	0J32W@euNOG
Respiratory chain complex I, mitochondrial	KOG4662@euNOG
